Agency,Name,Position,Remuneration,Expenses,Year,Sector
Vancouver police (VPD),,Police Constable,119284,1270,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119295,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),119328,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119361,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119362,155,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),119365,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119375,0,2021,Municipal Police
Vancouver police (VPD),,Special Constable,119381,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119431,70,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),119716,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119729,53,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119797,2040,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119905,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,119953,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120016,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120036,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,120082,3098,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),120142,23,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120151,116,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120151,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120214,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),120233,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),120383,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120408,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),120480,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120489,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120496,16,2021,Municipal Police
Vancouver police (VPD),"Tarnowski, J.",Senior Specialist,120505,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120509,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120533,200,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),120541,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120625,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120631,2055,2021,Municipal Police
Vancouver police (VPD),"Vonk, B.",Senior Specialist,120809,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120893,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120906,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),120920,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120942,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),120963,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120969,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120979,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,120992,113,2021,Municipal Police
Vancouver police (VPD),"Dee, S.",Creative Director,120998,1553,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121047,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121064,113,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121074,2171,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121118,40,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121150,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121175,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121198,12800,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),121242,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121273,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121285,392,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121314,105,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121354,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121458,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),121482,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121518,8486,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121531,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121544,9571,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121557,451,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),121626,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121649,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),121708,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),121769,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121861,5920,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121868,4230,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),121974,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,121975,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122062,484,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122068,2639,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122132,0,2021,Municipal Police
Vancouver police (VPD),,Corporal (Wse) (Sec.),122153,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122161,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122168,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122206,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),122208,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122272,89,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),122278,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122283,105,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122299,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122300,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122328,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122331,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122345,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122456,4028,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122460,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122477,2756,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122512,388,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),122514,139,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122609,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122640,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122644,226,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122711,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122769,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,122994,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),123000,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123021,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123026,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123084,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123183,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Wse) (Sec.),123224,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123265,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123289,2993,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Wse) (Sec.),123314,0,2021,Municipal Police
Vancouver police (VPD),"Lesicka, A.",Systems Analyst Iii,123320,7054,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123383,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123395,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123404,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123447,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123462,15,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123486,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123582,188,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123652,2008,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123746,200,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123750,139,2021,Municipal Police
Vancouver police (VPD),"Riumina, O.",Systems Analyst Iii,123784,3914,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),123795,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123828,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123917,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123926,4158,2021,Municipal Police
Vancouver police (VPD),,Police Constable,123929,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,123940,0,2021,Municipal Police
Vancouver police (VPD),"Alexander, T.",Systems Analyst Iii,123981,2491,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124007,113,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124013,357,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124171,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,124351,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124421,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124433,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124462,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124538,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124558,713,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124593,814,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124604,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124678,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124840,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,124980,35,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125013,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,125033,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,125071,48,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125178,927,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125214,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125235,1706,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125244,200,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),125337,32,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125403,1890,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125444,0,2021,Municipal Police
Vancouver police (VPD),"Mohamed, A.",Systems Analyst Iii (T),125516,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125536,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,125583,213,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125644,160,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125658,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125684,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125690,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125723,625,2021,Municipal Police
Vancouver police (VPD),,Sergeant,125750,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),125757,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125833,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125835,2680,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125841,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,125893,60,2021,Municipal Police
Vancouver police (VPD),"Li, E.",Systems Analyst Iii (Aux.),125901,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126001,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126135,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126146,400,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126146,3282,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126163,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126183,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126199,53,2021,Municipal Police
Vancouver police (VPD),,Sergeant,126230,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),126285,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126327,1722,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126344,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126348,2253,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126423,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126444,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126457,113,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),126465,0,2021,Municipal Police
Vancouver police (VPD),"Moore, S.",Forensic Firearm & Toolmark Examiner I,126562,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126577,2822,2021,Municipal Police
Vancouver police (VPD),"Jang, K.",Financial Analyst Ii,126596,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126684,10369,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),126801,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),126836,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126841,1461,2021,Municipal Police
Vancouver police (VPD),,Police Constable,126985,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127126,92,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127149,800,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),127254,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127289,2363,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127306,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),127349,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127350,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127445,1342,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127465,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127504,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127555,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127556,1579,2021,Municipal Police
Vancouver police (VPD),,Sergeant,127583,1469,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),127705,3614,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),127709,1425,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127837,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127891,2943,2021,Municipal Police
Vancouver police (VPD),,Police Constable,127897,92,2021,Municipal Police
Vancouver police (VPD),,Sergeant,127955,105,2021,Municipal Police
Vancouver police (VPD),,Sergeant,127982,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128006,0,2021,Municipal Police
Vancouver police (VPD),"Gardner, R.",Sergeant,128144,1393,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128153,32,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),128167,517,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128198,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128228,60,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128316,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,128337,358,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128379,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128597,1140,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),128609,136,2021,Municipal Police
Vancouver police (VPD),,Corporal (Wse) (Sec.),128656,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128657,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128662,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128691,3859,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128701,1726,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128732,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,128774,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,128929,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),128991,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),128991,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,129012,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),129144,853,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129161,84,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),129232,2104,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129301,105,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129304,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129346,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129382,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),129485,332,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129510,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129514,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,129680,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129705,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129738,42,2021,Municipal Police
Vancouver police (VPD),,Sergeant,129797,903,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129931,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129981,1648,2021,Municipal Police
Vancouver police (VPD),,Police Constable,129999,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130026,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130044,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130148,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,130283,239,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),130325,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130371,4373,2021,Municipal Police
Vancouver police (VPD),,Sergeant,130380,1076,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130392,792,2021,Municipal Police
Vancouver police (VPD),,Sergeant,130434,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130476,1159,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T),130488,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130499,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130617,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130667,42,2021,Municipal Police
Vancouver police (VPD),,Sergeant,130695,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,130829,184,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),130859,5400,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),130946,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,131114,2880,2021,Municipal Police
Vancouver police (VPD),,Police Constable,131131,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,131244,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,131263,12801,2021,Municipal Police
Vancouver police (VPD),"Addison, J.",Manager,131346,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,131462,325,2021,Municipal Police
Vancouver police (VPD),"Lemire, N.",Technical Specialist,131558,4241,2021,Municipal Police
Vancouver police (VPD),,Sergeant,131583,1258,2021,Municipal Police
Vancouver police (VPD),,Police Constable,131640,475,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132097,255,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132102,50,2021,Municipal Police
Vancouver police (VPD),,Sergeant,132138,53,2021,Municipal Police
Vancouver police (VPD),,Sergeant,132160,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132189,25,2021,Municipal Police
Vancouver police (VPD),,Sergeant,132227,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132277,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,132417,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132460,35,2021,Municipal Police
Vancouver police (VPD),,Sergeant,132516,47,2021,Municipal Police
Vancouver police (VPD),,Sergeant,132709,367,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132768,956,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132780,0,2021,Municipal Police
Vancouver police (VPD),,Special Constable,132871,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,132931,0,2021,Municipal Police
Vancouver police (VPD),"Hoogstins, L.",Manager 0 Ims,132998,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,133108,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133112,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133121,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),133290,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,133343,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133446,42,2021,Municipal Police
Vancouver police (VPD),"Froese, B.",Learning & Development Manager,133458,105,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133473,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133494,1476,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133519,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,133644,1733,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133646,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133649,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133683,645,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133737,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133873,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133930,50,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Wse) (T),133962,6191,2021,Municipal Police
Vancouver police (VPD),,Police Constable,133964,35,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),133968,0,2021,Municipal Police
Vancouver police (VPD),"Lai, R.",Manager0Infrastructure & Client Support,133983,186,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134003,53,2021,Municipal Police
Vancouver police (VPD),,Sergeant,134006,42,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134015,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,134087,400,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134105,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),134127,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134132,22,2021,Municipal Police
Vancouver police (VPD),,Sergeant,134178,358,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134249,0,2021,Municipal Police
Vancouver police (VPD),"Heer, S.",Director,134264,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134271,4607,2021,Municipal Police
Vancouver police (VPD),,Sergeant,134315,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134430,42,2021,Municipal Police
Vancouver police (VPD),"Ng, W.",Facilities Services Manager,134451,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134642,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134732,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134737,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134746,635,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134774,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134781,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,134796,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134831,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134878,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134901,696,2021,Municipal Police
Vancouver police (VPD),,Police Constable,134985,930,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135014,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135023,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Sec.),135075,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135119,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135237,25,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135303,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135498,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135519,575,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135529,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135617,51,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135624,630,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135705,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135731,353,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135779,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135783,350,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135861,63,2021,Municipal Police
Vancouver police (VPD),,Sergeant,135877,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135878,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135937,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,135965,804,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136005,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T.),136013,297,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),136116,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136123,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136145,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136154,113,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136165,119,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),136195,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136225,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136293,1084,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136347,35,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136371,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136423,297,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),136463,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136554,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136555,660,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136571,1455,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136633,0,2021,Municipal Police
Vancouver police (VPD),"Caunt, R.",Forensic Firearm & Toolmark  Examiner I,136686,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),136776,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136798,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant (T.),136874,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,136907,1102,2021,Municipal Police
Vancouver police (VPD),,Police Constable,136943,446,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137149,2413,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137206,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137308,23,2021,Municipal Police
Vancouver police (VPD),,Sergeant,137398,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,137426,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137526,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137601,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137659,16,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137722,141,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137724,63,2021,Municipal Police
Vancouver police (VPD),"Demers, S.",Audit Manager,137749,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),137786,392,2021,Municipal Police
Vancouver police (VPD),"August, G.",Hr Senior Business Analyst,137853,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137925,453,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137965,53,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),137967,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137980,42,2021,Municipal Police
Vancouver police (VPD),,Sergeant,137983,325,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137984,645,2021,Municipal Police
Vancouver police (VPD),,Police Constable,137989,1129,2021,Municipal Police
Vancouver police (VPD),,Sergeant (Sec.),138042,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,138061,804,2021,Municipal Police
Vancouver police (VPD),"Cheung, J.","Manager,  Development Services",138112,4150,2021,Municipal Police
Vancouver police (VPD),,Police Constable,138156,2768,2021,Municipal Police
Vancouver police (VPD),,Police Constable,138158,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,138176,2616,2021,Municipal Police
Vancouver police (VPD),,Sergeant,138208,1012,2021,Municipal Police
